Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,April,04/22/2024,costco,grocery,-86.71,Credit,BofA,Custom Cash
2024,April,04/19/2024,transfer,transfer,60.78,Credit,BofA,Custom Cash
2024,April,04/12/2024,costco,grocery,-43.59,Credit,BofA,Custom Cash
2024,April,04/12/2024,costco,grocery,-91.95,Credit,BofA,Custom Cash
2024,April,04/12/2024,free tax usa,cash,-14.99,Credit,BofA,Custom Cash
2024,April,04/08/2024,costco,grocery,-58.96,Credit,BofA,Custom Cash
2024,April,04/06/2024,costco,grocery,-44.0,Credit,BofA,Custom Cash
2024,April,04/05/2024,fairyloot,utilities,-34.9,Credit,BofA,Custom Cash
2024,March,03/25/2024,costco,grocery,-59.53,Credit,BofA,Custom Cash
